30/3/2020 21:35:35 Se conecto con ip:169.57.142.76 SE: 1519427592
30/3/2020 21:36:58 Agarro:1 Objeto:Túnica Perseus (Bajo/as)
30/3/2020 21:53:58 /TELEPLOC a x:24 Y:76 Map:34
30/3/2020 21:54:00 /TELEPLOC a x:22 Y:76 Map:34
30/3/2020 21:54:52 /TELEPLOC a x:28 Y:76 Map:34
30/3/2020 21:54:53 /TELEPLOC a x:34 Y:76 Map:34
30/3/2020 21:54:54 /TELEPLOC a x:38 Y:74 Map:34
30/3/2020 21:54:55 /TELEPLOC a x:39 Y:72 Map:34
30/3/2020 21:54:57 /TELEPLOC a x:39 Y:66 Map:34
30/3/2020 21:54:58 /TELEPLOC a x:40 Y:64 Map:34
30/3/2020 21:55:01 /TELEPLOC a x:43 Y:64 Map:34
30/3/2020 21:55:02 /TELEPLOC a x:46 Y:64 Map:34
30/3/2020 21:55:02 /TELEPLOC a x:49 Y:65 Map:34
30/3/2020 21:55:03 /TELEPLOC a x:51 Y:67 Map:34
30/3/2020 21:55:05 /TELEPLOC a x:47 Y:70 Map:34
30/3/2020 21:55:06 /TELEPLOC a x:47 Y:74 Map:34
30/3/2020 21:55:07 /TELEPLOC a x:49 Y:76 Map:34
30/3/2020 21:55:07 /TELEPLOC a x:44 Y:75 Map:34
30/3/2020 21:55:10 /TELEPLOC a x:40 Y:76 Map:34
30/3/2020 21:55:14 /TELEPLOC a x:38 Y:73 Map:34
30/3/2020 21:55:15 /TELEPLOC a x:40 Y:71 Map:34
30/3/2020 21:55:16 /TELEPLOC a x:43 Y:71 Map:34
30/3/2020 21:55:18 /TELEPLOC a x:41 Y:71 Map:34
30/3/2020 21:55:19 /TELEPLOC a x:39 Y:66 Map:34
30/3/2020 21:55:21 /TELEPLOC a x:40 Y:64 Map:34
30/3/2020 21:55:23 /TELEPLOC a x:42 Y:64 Map:34
30/3/2020 21:55:25 /TELEPLOC a x:43 Y:64 Map:34
30/3/2020 21:55:26 /TELEPLOC a x:44 Y:65 Map:34
30/3/2020 21:55:28 /TELEPLOC a x:44 Y:71 Map:34
30/3/2020 21:55:29 /TELEPLOC a x:43 Y:74 Map:34
30/3/2020 21:55:30 /TELEPLOC a x:40 Y:75 Map:34
30/3/2020 21:55:31 /TELEPLOC a x:36 Y:76 Map:34
30/3/2020 21:55:32 /TELEPLOC a x:29 Y:74 Map:34
30/3/2020 21:55:34 /TELEPLOC a x:24 Y:76 Map:34
30/3/2020 21:55:40 /TELEPLOC a x:28 Y:76 Map:34
30/3/2020 21:55:41 /TELEPLOC a x:32 Y:76 Map:34
30/3/2020 21:55:42 /TELEPLOC a x:38 Y:75 Map:34
30/3/2020 21:55:42 /TELEPLOC a x:44 Y:75 Map:34
30/3/2020 21:55:43 /TELEPLOC a x:44 Y:76 Map:34
30/3/2020 21:55:44 /TELEPLOC a x:45 Y:78 Map:34
30/3/2020 21:55:46 /TELEPLOC a x:46 Y:81 Map:34
30/3/2020 21:55:46 /TELEPLOC a x:50 Y:77 Map:34
30/3/2020 21:55:47 /TELEPLOC a x:54 Y:76 Map:34
30/3/2020 21:55:49 /TELEPLOC a x:50 Y:75 Map:34
30/3/2020 21:55:50 /TELEPLOC a x:45 Y:74 Map:34
30/3/2020 21:55:51 /TELEPLOC a x:44 Y:73 Map:34
30/3/2020 21:55:53 /TELEPLOC a x:47 Y:74 Map:34
30/3/2020 21:55:55 /TELEPLOC a x:51 Y:76 Map:34
30/3/2020 21:55:56 /TELEPLOC a x:55 Y:75 Map:34
30/3/2020 21:55:57 /TELEPLOC a x:52 Y:75 Map:34
30/3/2020 21:55:59 /TELEPLOC a x:52 Y:79 Map:34
30/3/2020 21:56:00 /TELEPLOC a x:44 Y:76 Map:34
30/3/2020 21:56:08 /TELEPLOC a x:44 Y:72 Map:34
30/3/2020 21:56:09 /TELEPLOC a x:46 Y:68 Map:34
30/3/2020 21:56:10 /TELEPLOC a x:50 Y:65 Map:34
30/3/2020 21:56:11 /TELEPLOC a x:55 Y:62 Map:34
30/3/2020 21:56:12 /TELEPLOC a x:56 Y:64 Map:34
30/3/2020 21:56:16 /TELEPLOC a x:58 Y:66 Map:34
30/3/2020 21:56:17 /TELEPLOC a x:60 Y:68 Map:34
30/3/2020 21:56:18 /TELEPLOC a x:60 Y:72 Map:34
30/3/2020 21:56:19 /TELEPLOC a x:59 Y:76 Map:34
30/3/2020 21:56:19 /TELEPLOC a x:58 Y:79 Map:34
30/3/2020 21:56:20 /TELEPLOC a x:50 Y:80 Map:34
30/3/2020 21:56:21 /TELEPLOC a x:45 Y:79 Map:34
30/3/2020 21:56:22 /TELEPLOC a x:44 Y:75 Map:34
30/3/2020 21:56:25 /TELEPLOC a x:38 Y:76 Map:34
30/3/2020 21:56:27 /TELEPLOC a x:39 Y:77 Map:34
30/3/2020 21:56:34 /TELEPLOC a x:34 Y:77 Map:34
30/3/2020 21:56:35 /TELEPLOC a x:29 Y:76 Map:34
30/3/2020 21:56:37 /TELEPLOC a x:25 Y:75 Map:34
30/3/2020 21:56:38 /TELEPLOC a x:23 Y:72 Map:34
30/3/2020 21:58:37 Transporto a BriTchE hacia Mapa48 X:50 Y:50
30/3/2020 21:58:42 /TELEPLOC a x:48 Y:51 Map:48
30/3/2020 21:58:43 /TELEPLOC a x:46 Y:52 Map:48
30/3/2020 21:58:44 /TELEPLOC a x:44 Y:53 Map:48
30/3/2020 21:58:45 /TELEPLOC a x:42 Y:54 Map:48
30/3/2020 21:58:47 /TELEPLOC a x:44 Y:56 Map:48
30/3/2020 21:58:47 /TELEPLOC a x:43 Y:57 Map:48
30/3/2020 21:58:49 /TELEPLOC a x:44 Y:59 Map:48
30/3/2020 21:58:50 /TELEPLOC a x:45 Y:61 Map:48
30/3/2020 21:58:50 /TELEPLOC a x:45 Y:61 Map:48
30/3/2020 21:58:50 /TELEPLOC a x:46 Y:63 Map:48
30/3/2020 21:58:51 /TELEPLOC a x:46 Y:63 Map:48
30/3/2020 21:59:06 Transporto a BriTchE hacia Mapa40 X:50 Y:50
30/3/2020 21:59:12 /TELEPLOC a x:46 Y:50 Map:40
30/3/2020 21:59:32 /TELEPLOC a x:46 Y:54 Map:40
30/3/2020 21:59:33 /TELEPLOC a x:47 Y:58 Map:40
30/3/2020 21:59:34 /TELEPLOC a x:48 Y:62 Map:40
30/3/2020 21:59:34 /TELEPLOC a x:49 Y:66 Map:40
30/3/2020 21:59:35 /TELEPLOC a x:50 Y:70 Map:40
30/3/2020 21:59:35 /TELEPLOC a x:51 Y:74 Map:40
30/3/2020 21:59:38 /TELEPLOC a x:43 Y:74 Map:40
30/3/2020 21:59:46 Transporto a BriTchE hacia Mapa48 X:50 Y:50
30/3/2020 21:59:49 /TELEPLOC a x:51 Y:46 Map:48
30/3/2020 22:00:04 Transporto a BriTchE hacia Mapa47 X:50 Y:50
30/3/2020 22:00:06 /TELEPLOC a x:57 Y:45 Map:47
30/3/2020 22:00:07 /TELEPLOC a x:61 Y:42 Map:47
30/3/2020 22:00:07 /TELEPLOC a x:65 Y:39 Map:47
30/3/2020 22:00:08 /TELEPLOC a x:69 Y:36 Map:47
30/3/2020 22:00:08 /TELEPLOC a x:69 Y:33 Map:47
30/3/2020 22:00:09 /TELEPLOC a x:68 Y:29 Map:47
30/3/2020 22:00:09 /TELEPLOC a x:66 Y:25 Map:47
30/3/2020 22:00:10 /TELEPLOC a x:63 Y:22 Map:47
30/3/2020 22:00:11 /TELEPLOC a x:62 Y:20 Map:47
30/3/2020 22:00:12 /TELEPLOC a x:60 Y:19 Map:47
30/3/2020 22:00:13 /TELEPLOC a x:59 Y:18 Map:47
30/3/2020 22:00:17 /TELEPLOC a x:81 Y:15 Map:17
30/3/2020 22:00:18 /TELEPLOC a x:81 Y:13 Map:17
30/3/2020 22:00:18 /TELEPLOC a x:81 Y:13 Map:17
30/3/2020 22:00:19 /TELEPLOC a x:82 Y:11 Map:17
30/3/2020 22:00:19 /TELEPLOC a x:76 Y:12 Map:17
30/3/2020 22:00:20 /TELEPLOC a x:71 Y:13 Map:17
30/3/2020 22:00:20 /TELEPLOC a x:72 Y:15 Map:17
30/3/2020 22:00:20 /TELEPLOC a x:69 Y:17 Map:17
30/3/2020 22:00:20 /TELEPLOC a x:72 Y:20 Map:17
30/3/2020 22:00:21 /TELEPLOC a x:75 Y:23 Map:17
30/3/2020 22:00:21 /TELEPLOC a x:75 Y:23 Map:17
30/3/2020 22:00:21 /TELEPLOC a x:78 Y:26 Map:17
30/3/2020 22:00:21 /TELEPLOC a x:78 Y:26 Map:17
30/3/2020 22:00:22 /TELEPLOC a x:81 Y:29 Map:17
30/3/2020 22:00:22 /TELEPLOC a x:81 Y:29 Map:17
30/3/2020 22:00:22 /TELEPLOC a x:84 Y:32 Map:17
30/3/2020 22:01:04 /IRA Ganjah Mapa:34 X:39 Y:62
30/3/2020 22:01:09 /TELEPLOC a x:35 Y:66 Map:34
30/3/2020 22:01:09 /TELEPLOC a x:31 Y:69 Map:34
30/3/2020 22:01:12 /TELEPLOC a x:36 Y:75 Map:34
30/3/2020 22:01:14 /TELEPLOC a x:39 Y:76 Map:34
30/3/2020 22:01:24 /IRA Mefisto Mapa:49 X:38 Y:47
30/3/2020 22:01:27 /TELEPLOC a x:41 Y:47 Map:49
30/3/2020 22:01:28 /TELEPLOC a x:43 Y:45 Map:49
30/3/2020 22:01:39 /TELEPLOC a x:44 Y:48 Map:49
30/3/2020 22:01:40 /TELEPLOC a x:40 Y:48 Map:49
30/3/2020 22:01:42 /TELEPLOC a x:42 Y:52 Map:49
30/3/2020 22:01:42 /TELEPLOC a x:44 Y:56 Map:49
30/3/2020 22:01:55 /TELEPLOC a x:42 Y:53 Map:49
30/3/2020 22:01:56 /TELEPLOC a x:39 Y:48 Map:49
30/3/2020 22:01:58 /TELEPLOC a x:37 Y:49 Map:49
30/3/2020 22:01:59 /TELEPLOC a x:36 Y:48 Map:49
30/3/2020 22:02:01 /TELEPLOC a x:38 Y:48 Map:49
30/3/2020 22:02:02 /TELEPLOC a x:40 Y:48 Map:49
30/3/2020 22:02:18 /TELEPLOC a x:36 Y:48 Map:49
30/3/2020 22:02:20 /TELEPLOC a x:32 Y:48 Map:49
30/3/2020 22:02:20 /TELEPLOC a x:28 Y:48 Map:49
30/3/2020 22:02:21 /TELEPLOC a x:32 Y:50 Map:49
30/3/2020 22:02:22 /TELEPLOC a x:36 Y:52 Map:49
30/3/2020 22:02:23 /TELEPLOC a x:37 Y:50 Map:49
30/3/2020 22:05:06 Transporto a BriTchE hacia Mapa66 X:50 Y:50
30/3/2020 22:05:10 /TELEPLOC a x:57 Y:50 Map:66
30/3/2020 22:05:12 /TELEPLOC a x:60 Y:54 Map:66
30/3/2020 22:05:13 /TELEPLOC a x:66 Y:56 Map:66
30/3/2020 22:09:05 Agarro:500 Objeto:Bolsa Oro
30/3/2020 22:17:34 /INVISIBLE
30/3/2020 22:18:31 /TELEPLOC a x:54 Y:51 Map:49
30/3/2020 22:18:31 /TELEPLOC a x:52 Y:56 Map:49
30/3/2020 22:18:31 /TELEPLOC a x:53 Y:51 Map:49
30/3/2020 22:18:37 /TELEPLOC a x:53 Y:51 Map:49
30/3/2020 22:18:37 /TELEPLOC a x:52 Y:48 Map:49
30/3/2020 22:18:38 /TELEPLOC a x:53 Y:48 Map:49
30/3/2020 22:18:38 /TELEPLOC a x:55 Y:51 Map:49
30/3/2020 22:18:38 /TELEPLOC a x:54 Y:51 Map:49
30/3/2020 22:18:39 /TELEPLOC a x:56 Y:53 Map:49
30/3/2020 22:18:39 /TELEPLOC a x:54 Y:52 Map:49
30/3/2020 22:18:40 /TELEPLOC a x:54 Y:53 Map:49
30/3/2020 22:19:03 Agarro:1 Objeto:Careta Sonic (1-2)
30/3/2020 22:20:53 /INVISIBLE
30/3/2020 22:21:12 Transporto a BriTchE hacia Mapa168 X:50 Y:50
30/3/2020 22:21:15 /TELEPLOC a x:46 Y:51 Map:168
30/3/2020 22:21:15 /TELEPLOC a x:42 Y:52 Map:168
30/3/2020 22:21:15 /TELEPLOC a x:38 Y:53 Map:168
30/3/2020 22:21:16 /TELEPLOC a x:34 Y:54 Map:168
30/3/2020 22:21:17 /TELEPLOC a x:34 Y:51 Map:168
30/3/2020 22:21:17 /TELEPLOC a x:32 Y:51 Map:168
30/3/2020 22:21:17 /TELEPLOC a x:31 Y:47 Map:168
30/3/2020 22:21:18 /TELEPLOC a x:30 Y:43 Map:168
30/3/2020 22:21:18 /TELEPLOC a x:30 Y:43 Map:168
30/3/2020 22:21:19 /TELEPLOC a x:30 Y:39 Map:168
30/3/2020 22:21:50 Transporto a BriTchE hacia Mapa166 X:50 Y:50
30/3/2020 22:21:54 /TELEPLOC a x:45 Y:48 Map:166
30/3/2020 22:21:55 /TELEPLOC a x:40 Y:46 Map:166
30/3/2020 22:21:55 /TELEPLOC a x:35 Y:44 Map:166
30/3/2020 22:21:56 /TELEPLOC a x:37 Y:47 Map:166
30/3/2020 22:21:57 /TELEPLOC a x:40 Y:51 Map:166
30/3/2020 22:22:01 /TELEPLOC a x:46 Y:46 Map:166
30/3/2020 22:22:02 /TELEPLOC a x:52 Y:41 Map:166
30/3/2020 22:22:03 /TELEPLOC a x:56 Y:44 Map:166
30/3/2020 22:22:03 /TELEPLOC a x:59 Y:47 Map:166
30/3/2020 22:22:05 /TELEPLOC a x:63 Y:51 Map:166
30/3/2020 22:22:07 /TELEPLOC a x:62 Y:52 Map:166
30/3/2020 22:22:08 /TELEPLOC a x:59 Y:55 Map:166
30/3/2020 22:22:08 /TELEPLOC a x:58 Y:59 Map:166
30/3/2020 22:22:09 /TELEPLOC a x:59 Y:62 Map:166
30/3/2020 22:22:10 /TELEPLOC a x:57 Y:60 Map:166
30/3/2020 22:22:11 /TELEPLOC a x:57 Y:56 Map:166
30/3/2020 22:22:11 /TELEPLOC a x:60 Y:53 Map:166
30/3/2020 22:22:12 /TELEPLOC a x:64 Y:50 Map:166
30/3/2020 22:22:13 /TELEPLOC a x:62 Y:50 Map:166
30/3/2020 22:22:18 /TELEPLOC a x:62 Y:45 Map:166
30/3/2020 22:22:19 /TELEPLOC a x:63 Y:43 Map:166
30/3/2020 22:22:19 /TELEPLOC a x:58 Y:42 Map:166
30/3/2020 22:22:20 /TELEPLOC a x:57 Y:42 Map:166
30/3/2020 22:22:20 /TELEPLOC a x:52 Y:42 Map:166
30/3/2020 22:22:20 /TELEPLOC a x:47 Y:44 Map:166
30/3/2020 22:22:21 /TELEPLOC a x:43 Y:46 Map:166
30/3/2020 22:22:22 /TELEPLOC a x:40 Y:50 Map:166
30/3/2020 22:22:22 /TELEPLOC a x:39 Y:54 Map:166
30/3/2020 22:22:23 /TELEPLOC a x:41 Y:57 Map:166
30/3/2020 22:22:23 /TELEPLOC a x:45 Y:58 Map:166
30/3/2020 22:22:25 /TELEPLOC a x:47 Y:55 Map:166
30/3/2020 22:22:25 /TELEPLOC a x:41 Y:51 Map:166
30/3/2020 22:22:25 /TELEPLOC a x:41 Y:51 Map:166
30/3/2020 22:22:26 /TELEPLOC a x:40 Y:53 Map:166
30/3/2020 22:22:27 /TELEPLOC a x:38 Y:54 Map:166
30/3/2020 22:22:28 /TELEPLOC a x:36 Y:57 Map:166
30/3/2020 22:22:28 /TELEPLOC a x:34 Y:60 Map:166
30/3/2020 22:22:29 /TELEPLOC a x:31 Y:62 Map:166
30/3/2020 22:22:30 /TELEPLOC a x:27 Y:62 Map:166
30/3/2020 22:22:30 /TELEPLOC a x:27 Y:60 Map:166
30/3/2020 22:22:30 /TELEPLOC a x:27 Y:60 Map:166
30/3/2020 22:22:31 /TELEPLOC a x:28 Y:59 Map:166
30/3/2020 22:22:31 /TELEPLOC a x:26 Y:55 Map:166
30/3/2020 22:22:31 /TELEPLOC a x:23 Y:52 Map:166
30/3/2020 22:22:32 /TELEPLOC a x:23 Y:52 Map:166
30/3/2020 22:22:32 /TELEPLOC a x:21 Y:49 Map:166
30/3/2020 22:22:33 /TELEPLOC a x:22 Y:49 Map:166
30/3/2020 22:22:33 /TELEPLOC a x:23 Y:46 Map:166
30/3/2020 22:22:33 /TELEPLOC a x:24 Y:46 Map:166
30/3/2020 22:22:34 /TELEPLOC a x:27 Y:44 Map:166
30/3/2020 22:22:34 /TELEPLOC a x:31 Y:43 Map:166
30/3/2020 22:22:34 /TELEPLOC a x:35 Y:42 Map:166
30/3/2020 22:22:35 /TELEPLOC a x:41 Y:44 Map:166
30/3/2020 22:22:35 /TELEPLOC a x:46 Y:47 Map:166
30/3/2020 22:22:36 /TELEPLOC a x:47 Y:51 Map:166
30/3/2020 22:22:36 /TELEPLOC a x:47 Y:51 Map:166
30/3/2020 22:22:37 /TELEPLOC a x:50 Y:53 Map:166
30/3/2020 22:22:37 /TELEPLOC a x:53 Y:55 Map:166
30/3/2020 22:22:38 /TELEPLOC a x:57 Y:58 Map:166
30/3/2020 22:22:38 /TELEPLOC a x:57 Y:58 Map:166
30/3/2020 22:22:38 /TELEPLOC a x:61 Y:61 Map:166
30/3/2020 22:22:39 /TELEPLOC a x:59 Y:65 Map:166
