5/12/2020 7:23:13 PM /TELEPLOC a x:42 Y:57 Map:49
5/12/2020 7:23:13 PM /TELEPLOC a x:45 Y:58 Map:49
5/12/2020 7:23:14 PM /TELEPLOC a x:49 Y:59 Map:49
5/12/2020 7:23:15 PM /TELEPLOC a x:54 Y:59 Map:49
5/12/2020 7:25:27 PM /TELEPLOC a x:50 Y:59 Map:49
5/12/2020 7:25:28 PM /TELEPLOC a x:45 Y:59 Map:49
5/12/2020 7:25:29 PM /TELEPLOC a x:41 Y:57 Map:49
5/12/2020 7:25:51 PM /TELEPLOC a x:53 Y:46 Map:166
5/12/2020 7:25:52 PM /TELEPLOC a x:50 Y:44 Map:166
5/12/2020 7:26:08 PM /TELEPLOC a x:50 Y:41 Map:166
5/12/2020 7:26:11 PM /TELEPLOC a x:50 Y:42 Map:166
5/12/2020 7:26:24 PM /TELEPLOC a x:49 Y:41 Map:166
5/12/2020 7:26:25 PM /TELEPLOC a x:51 Y:40 Map:166
5/12/2020 7:26:30 PM /TELEPLOC a x:52 Y:44 Map:166
5/12/2020 7:26:31 PM /TELEPLOC a x:53 Y:48 Map:166
5/12/2020 7:26:34 PM /TELEPLOC a x:54 Y:45 Map:166
5/12/2020 7:26:35 PM /TELEPLOC a x:52 Y:43 Map:166
5/12/2020 7:26:37 PM /TELEPLOC a x:50 Y:41 Map:166
5/12/2020 7:26:39 PM /TELEPLOC a x:50 Y:42 Map:166
5/12/2020 7:26:40 PM /TELEPLOC a x:50 Y:41 Map:166
5/12/2020 7:26:49 PM /TELEPLOC a x:52 Y:40 Map:166
5/12/2020 7:26:50 PM /TELEPLOC a x:54 Y:38 Map:166
5/12/2020 7:27:00 PM /TELEPLOC a x:47 Y:49 Map:110
5/12/2020 7:27:07 PM /TELEPLOC a x:43 Y:49 Map:110
5/12/2020 7:27:09 PM /TELEPLOC a x:41 Y:52 Map:110
5/12/2020 7:27:16 PM /TELEPLOC a x:47 Y:55 Map:110
5/12/2020 7:27:17 PM /TELEPLOC a x:53 Y:54 Map:110
5/12/2020 7:28:18 PM /TELEPLOC a x:54 Y:55 Map:34
5/12/2020 7:28:19 PM /TELEPLOC a x:61 Y:60 Map:34
5/12/2020 7:28:21 PM /TELEPLOC a x:64 Y:58 Map:34
5/12/2020 7:28:34 PM /TELEPLOC a x:54 Y:53 Map:34
5/12/2020 7:28:35 PM /TELEPLOC a x:60 Y:56 Map:34
5/12/2020 7:28:35 PM /TELEPLOC a x:66 Y:58 Map:34
5/12/2020 7:28:36 PM /TELEPLOC a x:72 Y:59 Map:34
5/12/2020 7:28:37 PM /TELEPLOC a x:77 Y:57 Map:34
5/12/2020 7:28:38 PM /TELEPLOC a x:81 Y:53 Map:34
5/12/2020 7:28:39 PM /TELEPLOC a x:82 Y:49 Map:34
5/12/2020 7:28:40 PM /TELEPLOC a x:82 Y:44 Map:34
5/12/2020 7:28:41 PM /TELEPLOC a x:82 Y:39 Map:34
5/12/2020 7:28:42 PM /TELEPLOC a x:82 Y:34 Map:34
5/12/2020 7:28:43 PM /TELEPLOC a x:82 Y:31 Map:34
